Name,Part,Location,Date,Result,BelligerentsA,BelligerentsB,CommanderA,CommanderB,StrengthA,StrengthB,LossA,LossB
Battle of Bar-sur-Aube,"
Part of War of the Sixth Coalition
","Bar-sur-Aube, France",27 February 1814,Austrian victory, First French Empire," Austrian Empire
 Russian Empire
 Kingdom of Bavaria", Nicolas Oudinot," Karl Schwarzenberg
 Peter Wittgenstein
 Karl von Wrede","30,000, 60 guns","30,000, 70 guns","3,100, 2 guns","1,900"
Battle of Barrosa,"
Part of the Peninsular War
","Playa de Barrosa, near Cádiz, Spain",5 March 1811,"


Tactical allied victory
Strategically indecisive


","


 Spain
 United Kingdom
 Portugal


","


 French Empire


","


 Manuel la Peña
 Thomas Graham


","


 Marshal Victor


","


5,200 British and Portuguese
c. 10,000 Spanish


","


10,160


","


1,240 killed or wounded (British command)
300–400 Spanish


","


c. 2,380 killed or wounded


"
Battle of Bautzen,"
Part of the War of the Sixth Coalition
","Bautzen, Saxony",20–21 May 1813,"French tactical victory, strategic Russo-Prussian victory.", French Empire," Kingdom of Prussia,
 Russian Empire","Napoleon I,
Michel Ney,
Geraud Duroc†"," Gebhard von Blücher,
 Peter Wittgenstein","115,000[not in citation given] to 200,000[2]","96,000[2]","20,000-22,000[4]","Around 11,000[4]"
Battle and Siege of Bayonne,"
Part of the Peninsular War
","Bayonne, France",14 April 1814,Allied victory, French Empire," United Kingdom
 Portugal
 Spain"," Pierre Thouvenot
 Louis Jean Nicolas Abbé"," John Hope (POW)
 Andrew Hay †","14,000","19,550","910 dead, wounded, or captured","700 dead
2,000 wounded
276 captured"
Battle of Benavente,"
Part of the Peninsular War
","Zamora, Spain",29 December 1808,British victory, United Kingdom, French Empire," Henry, Lord Paget", Lefebvre-Desnouettes.,600,550,50 killed and wounded,"55 killed and wounded, 3 officers and 70 other ranks captured."
Battle of Berezina,"
Part of French invasion of Russia (1812)
",The Berezina river near Borisov (now Barysaw),26–29 November 1812,"French strategic victory[1][2]
Russian tactical victory
Massive French casualties[3][4]"," First French Empire
 Duchy of Warsaw", Russian Empire," Napoleon I
 Nicolas Oudinot
 Victor-Perrin
 Michel Ney","
 Pavel Chichagov
 Peter Wittgenstein","49,000 combatants,
40,000 stragglers","64,000 combatants
Chichagov: 34,000;
Wittgenstein: 30,000.","13,000–25,000 combatants
10,000–20,000 stragglers
25 cannon","6,000–20,000 combatants"
Battle of Bornhöved,"
Part of the War of the Sixth Coalition
","Bornhöft, Schleswig-Holstein, present-day Germany",7 December 1813,Swedish victory, Denmark–Norway, Sweden, Prince Frederik of Hesse, Bror Cederström,"2,500 infantry and cavalry with artillery support",471 Hussars,"200 dead
75 captured
2 cannons 1 howitzer captured",76 dead or wounded
Battle of Borodino,"
Part of the French invasion of Russia (1812)
","Borodino, Russia","September 7, 1812",,"
 France

 Duchy of Warsaw
 Italy
Confederation of the Rhine[1]

", Russian Empire[2]," Napoleon I
 Michel Ney
 Joachim Murat
 Eugène de Beauharnais"," Mikhail Kutuzov
 Pyotr Bagration  (DOW)
 Michael Andreas Barclay de Tolly","130,000–190,000 men
587 guns","120,000–160,000 men
624 guns","~30,000–35,000 dead, wounded and captured

[5](inc. 47 generals, 480 officers)","40,000–45,000 dead, wounded and captured[6] (inc. 23 generals, 211 officers)"
Battle of Brienne,"
Part of the War of the Sixth Coalition
",Brienne-le-Château,"January 29, 1814",French victory, French Empire," Prussia
 Russia",Napoleon I," Gebhard von Blücher
 Fabian Gottlieb von Osten-Sachen","30,000","25,000","1,500 killed or wounded","4,000 killed or wounded"
Battle of Burgos,"
Part of the Peninsular War
","Gamonal ,near Burgos, Spain","November 7, 1808",French victory, French Empire, Spain,Jean-Baptiste Bessières,"Conde de Belveder
Vicente Genaro de Quesada (WIA) (POW)
Fernando María de Alós","20,000 infantry,
4,000 cavalry","9,000 infantry",Unknown,"2,000 dead, wounded, or captured"
Battle of Bussaco,"
Part of Peninsular War
","Bussaco, near Luso, Portugal",27 September 1810,Anglo-Portuguese victory," United Kingdom
 Portugal", France," Viscount Wellington
 Luís do Rego Barreto", André Masséna,"25,000 British
25,000 Portuguese","65,000","1,250 dead or wounded","4,500 dead or wounded"
Battle of Cabezón,"
Part of the Peninsular War
","Cabezón de Pisuerga, near Valladolid, Spain","June 12, 1808",French victory, Spain, First French Empire,Gregorio de la Cuesta,"Jean-Baptiste Bessières
Antoine Lasalle","300 regular cavalry
4,700 militia
4 guns
Total: 5,000","9,000 regulars",Unknown,50 dead
Battle of Caldiero,"
Part of the War of the Third Coalition
","Caldiero, present-day Italy",30 October 1805,French victory[1], French Empire, Austrian Empire, André Masséna, Archduke Charles,"33,000–49,000
23,600–33,000 engaged[1]","49,200","3,729 total:
3,204 killed or wounded[2]
525 captured[2]","9,221 total:
503 killed[2]
2,209 wounded[2]
1,509 captured[2]
a further 5,000 captured at Cara Albertini[3]"
Battle of Campo Maior,"
Part of the Peninsular War
","Campo Maior, Portugal",25 March 1811,Anglo-Portuguese victory, French Empire," United Kingdom
 Portugal", M. V. Latour-Maubourg, William Beresford,"2,400",700,"200
1 cannon",168
Battle of Campo Tenese,"
Part of the War of the Third Coalition
","Northwest of Morano Calabro, Italy",9 March 1806,Decisive French victory," France
 Polish Legions
 Switzerland", Kingdoms of Naples and Sicily, Jean Reynier, Roger de Damas,"10,000","14,000",unknown but light,"3,000, all guns and baggage"
Battle of Cape Finisterre,"
Part of the Napoleonic Wars
","off Cape Finisterre, Galicia, Spain",22 July 1805,"Indecisive[1][2][3][4][5]
British strategic victory[6][7][8][9]", United Kingdom," France
 Spain", Robert Calder, Pierre Charles Silvestre de Villeneuve,15 ships of the line,"14 French,
6 Spanish ships of the line",198 dead or wounded,"647 dead or wounded,
2 Spanish ships captured,
1,200 prisoners[11]"
Battle of Cape Ortegal,"
Part of the Napoleonic Wars
",Cape Ortegal,4 November 1805,British victory, United Kingdom, France, Sir Richard Strachan, Pierre Dumanoir le Pelley,"4 ships of the line,
4 frigates",4 ships of the line,"24 killed,
111 wounded[2]","730 killed or wounded,
4 ships captured[2]"
Battle of Carpi,"
Part of the Neapolitan War
","Carpi, present-day Italy",10 April 1815,Austrian victory, Austrian Empire, Kingdom of Naples,Frederick Bianchi,Guglielmo Pepe,"2,500","5,000",116 killed or wounded,"~1,000 killed or wounded
612 captured"
Battle of Casaglia,"
Part of the Neapolitan War
","Northwest of Ferrara, present-day Italy",12 April 1815,Austrian victory, Austrian Empire, Kingdom of Naples,"Johann Frimont
Johann Freiherr von Mohr",Joachim Murat,"4,500","7,000+",230 killed or wounded,"~1,000 killed or wounded"
Battle of Casal Novo,"
Part of Peninsular War
","Casal Novo, southeast of Coimbra, Portugal","March 14, 1811",French victory, French Empire, United Kingdom,"
 Michel Ney
 Jean Gabriel Marchand", Sir William Erskine,"4,600","7,000",55 casualties,155 casualties
Battle of Castalla,"
Part of Peninsular War
","Castalla, Spain",13 April 1813,Anglo-Spanish victory, French Empire," United Kingdom,
 Spain", Louis Suchet, John Murray,"13,200","18,200","Biar: 300
Castalla: 1,300","Biar: 301, 2 guns
Castalla:440"
Battle of Castel di Sangro,"
Part of the Neapolitan War
","Castel di Sangro, present-day Italy",13 May 1815,Austrian victory, Austrian Empire, Kingdom of Naples,Frederick Bianchi,Pignatelli Cerchiara,"1,000 infantry
1,000 cavalry","1,900 infantry",15 killed or wounded,"400 killed or wounded
206 captured"
Battle of Castellón,"
Part of the Peninsular War
","Castelló d'Empúries, near Girona, Spain","January 1, 1809",Spanish victory, French Empire, Spain,Honoré Charles Reille,Marqués de Lazán,500 regulars,,"300 dead or wounded,
90 captured",
Battle of Cesenatico,"
Part of the Neapolitan War
","Cesenatico, present-day Italy",23 April 1815,Austrian victory, Austrian Empire, Kingdom of Naples,Adam Albert von Neipperg,Joachim Murat,600,"3,000",50 killed or wounded,"500 killed or wounded
200 captured"
Battle of Champaubert,"
Part of the War of the Sixth Coalition
","Champaubert, east of Paris",10 February 1814,French victory, French Empire, Russian Empire," Emperor Napoleon
 Auguste Marmont", General Olssufiev  (POW),"15,000, 120 guns.","3,700, 24 guns.",600.,"2,400, 9 guns."
Battle of Czasniki,"
Part of French invasion of Russia (1812)
","Chashniki (Czasniki), Belarus","October 31, 1812",Marginal Russian victory, Russian Empire, First French Empire,Prince Peter Wittgenstein,Marshal Victor,"30,000, of whom 11,000 were involved","36,000, of whom 10,000 to 18,000 were involved",400,"1,200"
Battle of Château-Thierry,"
Part of the War of the Sixth Coalition
",France,12 February 1814,French victory, French Empire," Prussia
 Russia"," Napoleon I
 Michel Ney"," Ludwig Yorck
 Fabian Osten-Sacken","20,000","30,000",600,"Prussians: 1,300, 6 guns
Russians: 1,700, 8 guns
Baggage and transport"
Battle of Ciudad Real,"
Part of the Peninsular War
","Ciudad Real, Province of Ciudad Real, Castile-La Mancha, Spain","March 27, 1809",French-Polish victory," French Empire
 Duchy of Warsaw", Kingdom of Spain,General Sebastiani,Conde de Cartaojal,12 000,19 000,unknown but light,2000 killed and wounded
Battle of Corunna,"
Part of the Peninsular War
","Corunna, Galicia",16 January 1809,"British tactical victory[1][2][3][a]
French strategic victory[4][5][6]", United Kingdom, France," John Moore  (DOW)
 David Baird", Jean-de-Dieu Soult,"16,000:
15,000 infantry
9 to 12 guns[8]","16,000:
12,000 infantry
3,200 cavalry
20 guns","900 dead or wounded
300 sick abandoned[11]","600 to 700 dead or wounded
200 to 300 prisoners"
Battle of Craonne,"
Part of the War of the Sixth Coalition
","Craonne, France",7 March 1814,French victory, French Empire," Kingdom of Prussia
 Russian Empire"," Napoleon I,
 Michel Ney
 Étienne de Nansouty"," Gebhard von Blücher
 Mikhail Vorontsov","37,000","16,300","5,400-8,000","5,000"
Battle of Czarnowo,"
Part of the War of the Fourth Coalition
","Czarnowo, Poland",23 December 1806,French victory, First French Empire, Russian Empire," Napoleon Bonaparte
 Louis Davout
 Jean Bessières
 Pierre Augereau
 Jean Marchand"," Mikhail Kamensky
 A. Ostermann-Tolstoy
 Karl La Roche-Aymon
 M. Barclay de Tolly
 Anton von L'Estocq","8,000–23,200, 20 guns","5,000, 48 guns","Czarnowo: 846–1,400
Bieżuń: light
Kołoząb: 518
Soldau: 221","Czarnowo: 1,392, 5 guns
Bieżuń: 500, 5 guns
Kołoząb: unknown, 6 guns
Soldau: 800, 2 guns"
Battle of Dennewitz,"
Part of the War of the Sixth Coalition
",South of Berlin,6 September 1813,Coalition victory, French Empire," Kingdom of Prussia,
 Russian Empire,
 Sweden"," Michel Ney,
 Nicolas Oudinot"," Crown Prince Charles John,
 Friedrich Wilhelm Freiherr von Bülow","58,000","100,000","21,000 ","7,000 - 10,000"
Battle of Diamond Rock,"
Part of the Trafalgar Campaign
","Diamond Rock, off Martinique, West Indies",31 May – 2 June 1805,Franco-Spanish victory, United Kingdom," France
 Spain", James Wilkes Maurice, Julien Cosmao,"107 men
3 x 24 pdrs
2 x 18 pdrs","Two ships of the line
One frigate
One corvette
One schooner
11 gunboats
c. 400 soldiers","2 killed
1 wounded
105 prisoners","c. 50 killed and wounded
5 gunboats sunk"
Battle of Dresden,"
Part of the War of the Sixth Coalition
","Dresden, Saxony, present-day Germany",26–27 August 1813,French victory, French Empire," Austria
 Prussia
 Russian Empire","
 Napoleon I
 Laurent Gouvion Saint-Cyr
 Michel Ney
 Joachim Murat
 Édouard Adolphe Casimir Joseph Mortier","
 Karl Philipp Fürst zu Schwarzenberg
 Emperor Francis II
 Tsar Alexander I

Jean Victor Marie Moreau†

Michael Andreas Barclay de Tolly

Frederick William III","135,000","214,000","10,000 dead or wounded","38,000 dead, wounded, or captured,
40 guns"
Battle of Dürenstein (or Dürnstein),"
Part of the War of the Third Coalition
","Dürenstein, Wachau region, Austria",11 November 1805,Inconclusive, French Empire," Russian Empire
 Austrian Empire","Édouard Mortier
Théodore Maxime Gazan
Pierre Dupont de l'Étang","Mikhail Illarionovich Kutuzov
Mikhail Andreyevich Miloradovich
Dmitry Dokhturov
Johann Heinrich von Schmitt  †","initially about 6,000–8,000, expanded to 8,000–10,000 by the end of the battle","about 24,000","~4,000, plus 47 officers and 895 men captured
Two Eagles, a guidon, and five guns","~4,000 dead and wounded.
Two colors of Muskova Regiment Viatka."
Battle of Ebelsberg,"
Part of the War of the Fifth Coalition
","near Linz, Austria",3 May 1809,French minor victory, Austrian Empire, First French Empire, Johann von Hiller, André Masséna,"40,000, 70 guns","22,100, 20 guns","4000-8,000","4,000-12,000"
Battle of Eckmühl,"
Part of the War of the Fifth Coalition
","Eckmühl, Bavaria",21–22 April 1809,French victory, Austria," France
 Bavaria
 Württemberg",Archduke Charles,"Napoleon I
Marshal Davout","35,000","30,000 – 60,000","12,000 killed, wounded or captured","6,000 killed or wounded"
Battle of Elchingen,"
Part of the War of the Third Coalition
","Elchingen, present-day Germany",14 October 1805,French victory, French Empire, Holy Roman Empire, Michel Ney, Johann Riesch,"17,000","16,000",854,"6,000"
Battle of Espinoza,"
Part of the Peninsular War
","Espinosa de los Monteros, southeast of Cantabria, Spain",10–11 November 1808,French victory, French Empire, Spain,Claude Victor,"Joaquín Blake, Pedro Caro","22,000","23,000","1,200 dead or wounded","3,000 dead, wounded, or captured"
Battle of Eylau,"
Part of the War of the Fourth Coalition
","Preußisch Eylau, East Prussia[a]",7–8 February 1807,Tactical French victory; Strategically inconclusive, French Empire," Russian Empire
 Prussia", Napoleon I," Levin August, Count von Bennigsen
 Anton Wilhelm von L'Estocq","75,000:
Napoleon: 45,000
Ney: 14,500
Davout: 15,000
200 cannons","76,000:
Benningsen: 67,000 Russians
Lestoq: 9,000 Prussians
460 cannons","10,000 – 25,000 ","
20,000 – 26,000
+ 3000 prisoners"
Battle of Friedland,"
Part of the War of the Fourth Coalition
","Friedland, Prussia","June 14, 1807","
Decisive French victory

Treaty of Tilsit
End of Russian hostilities toward the French Empire
Russia integrates the Continental System
Effective end of the Fourth Coalition

", France, Russia," Napoleon I
 Jean Lannes"," Levin August, Count von Bennigsen","60,000
118 cannon","80,000
120 cannon","8,000 killed and wounded","20,000-40.000[3] killed, wounded, and captured
80 guns[2]"
Battle of Fuentes de Oñoro,"
Part of the Peninsular War
","Fuentes de Oñoro, Spain","3–5 May, 1811","Indecisive[1][2][3]
Strategic Anglo-Portuguese victory[4][5][6][7][8]"," United Kingdom
 Portugal", French Empire, Viscount of Wellington, Marshal Masséna,"36,000 infantry,
1,850 cavalry,
48 guns","42,000 infantry,
4,500 cavalry,
38 guns","241 killed,
1,247 wounded,
312 captured","343 killed,
2,287 wounded,
214 captured"
Battle of Fère-Champenoise,"
Part of the War of the Sixth Coalition
","near Fère-Champenoise, France",25 March 1814,Coalition victory, French Empire," Austrian Empire
 Württemberg
 Russian Empire"," Auguste Marmont
 Adolphe Mortier"," Karl Schwarzenberg
 Peter Wittgenstein
 Crownprince William","12,700 infantry,
4,000 cavalry,
84 guns","12,000 cavalry,
48 guns","5,000","2,000"
Battle of García Hernández,"
Part of Peninsular War
","Garcihernández, Spain",23 July 1812,Anglo-German victory, French Empire, United Kingdom, Maximilien Foy, George Bock,"4,000","1,770","1,100-1,600 casualties",116-127 casualties
Battle of Garris,"
Part of Peninsular War
","Garris, Pyrénées Atlantiques, France","February 15, 1814",Allied victory, French Empire," United Kingdom
 Portugal
 Spain", General of Division Harispe, Marquess Wellington,"7,000","11,000","300 killed and wounded
200 captured",170 killed and wounded
Battle of Gefrees,"
Part of War of the Fifth Coalition
","Gefrees, Germany",8 July 1809,Austrian victory," Austria
 Black Brunswickers"," First French Empire
 Kingdom of Westphalia
 Kingdom of Saxony"," Michael von Kienmayer
 Frederick William"," Jean-Andoche Junot
 Jérôme Bonaparte
 Johann von Thielmann","Entire Campaign:
13,000 Austrians
2,000 Brunswickers

At Gefrees:
6,000 Austrians","Entire Campaign:
15,000 French
15,000 Westphalians
5,000 Saxons
At Gefrees:
7,500 French","At Gefrees:
400 killed or wounded","At Gefrees:
2,000 killed or wounded"
Battle of Golymin,"
Part of the War of the Fourth Coalition
","Gołymin, Poland",26 December 1806,Successful Russian withdrawal, First French Empire, Russian Empire, Marshal Murat, General Golitsyn,"38,000 soldiers","16,000–18,000 soldiers,
28 guns",700,750
Battle of Graz,"
Part of the War of the Fifth Coalition
","Graz, Styria, Austria",24–26 June 1809,French victory, Austrian Empire, First French Empire, Ignaz Gyulai," Auguste Marmont
 Jean Broussier","15,000 to 20,000[2]","6,000 rising to 16,700[4]","980 to 2,000[1]",263 to 900
Battle of Grijó,"
Part of the Peninsular War
","Grijó, Portugal",10–11 May 1809,Anglo-Portuguese victory," United Kingdom
 Portugal", French Empire, General Lord Wellesley, Marshal Nicolas Soult,"8,500","5,400",106,250
Battle of Großbeeren,"
Part of the War of the Sixth Coalition
",South of Berlin,23 August 1813,Coalition victory,"
 French Empire

 Saxony"," Kingdom of Prussia,
 Sweden,
 Russia", Nicolas Oudinot," Crown Prince Charles John
 Friedrich von Bülow","60,000","80,000","3,000 dead and wounded,
1,500 captured,
13 guns","1,000 dead and wounded"
Battle of Guttstadt-Deppen,"
Part of the War of the Fourth Coalition
","Guttstadt, East Prussia (modern Dobre Miasto, Poland",5–6 June 1807,Russian victory, First French Empire, Russian Empire," Michel Ney
 Nicolas Soult
 J-B Bernadotte"," Levin Bennigsen
 Dmitry Dokhturov
 Anton von L'Estocq","Guttstadt: 17,000
Lomitten: 6,000, 16 guns
Spanden: unknown","Guttstadt: 63,000
Lomitten: 12,000, 76 guns
Spanden: 6,000","Guttstadt: 2,042
Lomitten: 1,185
Spanden: unknown","Guttstadt: 2,000–2,500
Lomitten: 2,800
Spanden: 500–800"
Battle of Günzburg,"
Part of the War of the Third Coalition
","Günzburg, modern-day Germany",9 October 1805,French victory, First French Empire, Austrian Empire, Jean Malher, Karl Mack,"8,000, 6 guns","Over 7,000, 26 guns",700,"2,000, 6 guns"
Battle of Halle,"
Part of the War of the Fourth Coalition
","Halle, Saxony-Anhalt, Germany",17 October 1806,French victory, First French Empire, Prussia, Marshal Bernadotte, Duke of Württemberg,"20,594, 34 guns","16,000, 58 guns",800,"5,000, 11 guns"
Battle of Hanau,"
Part of the War of the Sixth Coalition
","Hanau, Grand Duchy of Frankfurt",30–31 October 1813,French victory, French Empire," Bavaria
 Austria", Napoleon I, Karl Philipp von Wrede,"20,000, 60 cannons","43,000, 134 cannons","4,500","9,000"
Battle of Haslach-Jungingen,"
Part of the War of the Third Coalition
","Ulm-Jungingen, present-day Germany","October 11, 1805",French victory, First French Empire, Austrian Empire,Pierre Dupont,Karl Mack von Lieberich,"5,000","35,000","
1,000 total:
killed, wounded and captured
8 cannon captured","
7,100 total:
1,100 killed and wounded
6,000 captured
2 cannon captured"
Battle of Heilsberg,"
Part of the War of the Fourth Coalition
","Heilsberg, East Prussia",10 June 1807,"Russian tactical victory;
French strategic victory", French Empire, Russian Empire," Joachim Murat
 Jean Lannes", Levin Bennigsen,"50,000","90,000","1,398 killed, 10,359 wounded, 864 captured","8,000-9,000 killed/wounded/captured"
Battle of Hollabrunn,"
Part of the War of the Fifth Coalition
","Hollabrunn, present-day Austria, then Austrian Empire",9 July 1809,Austrian victory, French Empire, Austrian Empire, André Masséna, Johann von Klenau,"11,000 men","17,000 men",unknown,unknown
Battle of Issy,"
Part of the Napoleonic Wars (Seventh Coalition 1815)
","Issy, France",2 and 3 July 1815,Prussian victory, Kingdom of Prussia, First French Empire, General Zieten, General Vandamme,,,,"more than 3,000.[1]"
Battle of Jena–Auerstedt,"
Part of the War of the Fourth Coalition
","Jena and Auerstedt, Germany",14 October 1806,Decisive French victory, France," Prussia
 Saxony"," Napoleon I
 Louis Nicolas Davout
 Michel Ney"," Charles William Ferdinand, Duke of Brunswick †
 Frederick Louis, Prince of Hohenlohe-Ingelfingen","67,000
40,000 (Jena);
27,000 (Auerstedt)","120,500
60,000 (Jena);
60,500 (Auerstedt)","14,920 dead and wounded
7,500 (Jena);
7,420 dead and wounded (Auerstedt)","33,000 dead, wounded and captured
20,000 (Jena);
13,000 (Auerstedt)"
Battle of Katzbach,"
Part of War of the Sixth Coalition
","near Liegnitz, Prussia",26 August 1813,Coalition victory, French Empire,"
Sixth Coalition:
 Prussia
 Russia", Jacques MacDonald, Gebhard von Blücher,"102,000","114,000","13,000 killed and wounded
20.000 captured
Two Eagles lost.","4,000"
Battle of Klyastitsy,"
Part of Russian Campaign of the Napoleonic Wars
","Klyastitsy, Belarus","28 July, then 29 July - 1 August 1812",Inconclusive, Russian Empire, First French Empire,"Prince Peter Wittgenstein
Yakov Kulnev  †",Nicolas Oudinot,"17,000–22,000","23,000–28,000","3,500–4,500","5,500 dead,
1,000 captured"
Battle of Krasnoi,"
Part of Napoleon's invasion of Russia
","Krasny, Russia","November 15–18, 1812",Inconclusive; Russian tactical victory," First French Empire
 Duchy of Warsaw", Russian Empire," Napoleon I
 Louis Nicolas Davout
 Eugène de Beauharnais
 Michel Ney"," Mikhail Illarionovich Kutuzov
 Mikhail Miloradovich","42,000 regulars,
39,000 stragglers","60,000–80,000","6,000–13,000 killed,
20,000–26,000 captured ~ (almost all stragglers)","2,000–5,000"
Battle of Kulm,"
Part of the War of the Sixth Coalition
","Kulm, Bohemia",29–30 August 1813,Coalition victory, First French Empire," Russian Empire
 Kingdom of Prussia
 Austria"," Dominique Vandamme (POW)
 Laurent Gouvion Saint-Cyr
 Auguste Marmont"," Alexander Ostermann-Tolstoy
 Barclay de Tolly
 Peter Wittgenstein
 Friedrich von Kleist
 Prince Schwarzenberg
 Hieronymus von Colloredo-Mansfeld","34,000","16,000 on 29 August,
60,000 on 30 August","5,000 killed or wounded,
7,000-13,000 captured","~11,000 total"
Battle of La Rothière,"
Part of the War of the Sixth Coalition
","La Rothière, France",1 February 1814,Coalition victory, French Empire," Prussia
 Russian Empire
 Austrian Empire
 Bavaria
Württemberg",Napoleon I,"Gebhard von Blücher
M. Barclay de Tolly
 Ignaz Gyulai
 Karl von Wrede","45,000
128 guns","120,000","5,600 dead, wounded or captured
73 guns","6,000–7,000 dead or wounded"
Battle of La Suffel,"
Part of the Napoleonic Wars
","Souffelweyersheim and Hoenheim, France",28 June 1815,French victory, French Empire,"
Seventh Coalition:

 Austrian Empire

", Jean Rapp, Crown Prince of Württemberg[1],"About 20,000[2]","About 40,000","~3,000","75 officers and 2,050 men"
